full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Abdelaziz Husain Haikal Mubarak Al Balooshi,32,652950000,1990-09-10,International Friendlies,2022,Defender,UAE,97,24,73,UAE,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,-1,-1,-1,26
Abdelhamid Sabiri,25,849168000,1996-11-28,International Friendlies,2022,Midfielder,Morocco,40,14,26,Morocco,2,1,1,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2.25,0,2.25,6.43,0,40,0,0,20,0,0,0,-1,-1,-1,2
Abdelkader Bedrane,30,702201600,1992-04-02,International Friendlies,2022,Defender,Algeria,95,95,0,Algeria,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,-1,-1,-1,26
Abdelkarim Hassan Fadlalla,29,746521200,1993-08-28,International Friendlies,2022,Defender,Qatar,270,270,0,Qatar,3,3,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0.67,135,90,0,0,0,-1,-1,-1,13
Abdelrahman Mohamed Fahmi Moustafa,25,860227200,1997-04-05,International Friendlies,2022,Midfielder,Qatar,0,0,0,Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdelrazig Omer,29,742978800,1993-07-18,International Friendlies,2022,Midfielder,Sudan,90,0,90,Sudan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,9
Abderrazak Hamdallah,31,661420800,1990-12-17,International Friendlies,2022,Forward,Morocco,44,44,0,Morocco,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,31
Abdiel Armando Ayarza Cocanegra,30,716281200,1992-09-12,International Friendlies,2022,Midfielder,Panama,86,0,86,Panama,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1.05,0,1.05,0,1.05,86,1.05,86,86,0,0,0,-1,-1,-1,3
Abdillahie Yussuf,30,716108400,1992-09-10,International Friendlies,2022,Forward,Tanzania,46,46,0,Tanzania,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,22
Abdou Diallo,26,831193200,1996-05-04,International Friendlies,2022,Defender,Senegal,90,0,90,France,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,21
Abdou Wassiou Ouro-Gneni,25,855907200,1997-02-14,International Friendlies,2022,Goalkeeper,Togo,63,0,63,Togo,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,16
Abdoul Aziz Ibrahim,26,826876800,1996-03-15,International Friendlies,2022,Midfielder,Niger,90,0,90,Niger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,6
Abdoul Fessal Tapsoba,21,998550000,2001-08-23,International Friendlies,2022,Forward,Burkina,33,0,33,Burkina Faso,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,5.45,17,17,0,0,0,-1,-1,-1,21
Abdoul Guiebre,25,852105600,1997-01-01,International Friendlies,2022,Midfielder,Burkina,180,0,180,Burkina Faso,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,24
Abdoul Karim Cissu00e9,37,498639600,1985-10-20,International Friendlies,2022,Goalkeeper,Ivory Coast,0,0,0,Ivory Coast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoul Moumouni Amadou Darankoum,20,1028703600,2002-08-07,International Friendlies,2022,Midfielder,Niger,90,0,90,Niger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,8
Abdoul Nasser Adamou Garba,30,693475200,1991-12-23,International Friendlies,2022,Defender,Niger,0,0,0,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdoul Razak Seyni,32,631180800,1990-01-01,International Friendlies,2022,Defender,Niger,90,0,90,Niger,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,7
Abdul Fatawu Issahaku,18,1078732800,2004-03-08,International Friendlies,2022,Forward,Ghana,158,0,158,Ghana,2,0,2,1,0,1,0,0,0,0,0,1,0,1,2,0,2,0,0,0.57,0,0.57,0,0.57,158,1.14,79,79,0,0,0,-1,-1,-1,4
Abdul Karim Watambala,22,952070400,2000-03-03,International Friendlies,2022,Midfielder,Uganda,0,0,0,Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdul Latif Nassan,29,728380800,1993-01-30,International Friendlies,2022,Goalkeeper,Venezuela,0,0,0,Syria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,7
Abdul Manaf Nurudeen,23,918460800,1999-02-08,International Friendlies,2022,Goalkeeper,Ghana,66,0,66,Ghana,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.36,66,66,0,0,0,-1,-1,-1,20
Abdul Mumin,24,897116400,1998-06-06,International Friendlies,2022,Defender,Ghana,0,0,0,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdul Rahman Baba,28,773132400,1994-07-02,International Friendlies,2022,Defender,Ghana,198,90,108,Ghana,3,1,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,2,0,0,0,0,0,0,0,2.27,40,66,99,0,0.91,-1,-1,-1,31
Abdul Rahman Oues,24,897807600,1998-06-14,International Friendlies,2022,Defender,Syria,90,90,0,Greece,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,11
Abdul Salam Mohammed,30,708937200,1992-06-19,International Friendlies,2022,Defender,UAE,0,0,0,UAE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdulaziz Ali Al Bishi,28,763372800,1994-03-11,International Friendlies,2022,Midfielder,Saudi Arabia,105,105,0,Saudi Arabia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.86,105,53,0,0,0,-1,-1,-1,20
Abdulaziz Hatem Mohammed Abdullah,32,631958400,1990-01-10,International Friendlies,2022,Midfielder,Qatar,180,180,0,Qatar,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,6
Abdulelah Al Malki,28,781858800,1994-10-11,International Friendlies,2022,Midfielder,Saudi Arabia,152,79,73,Saudi Arabia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.59,152,76,0,0,0,-1,-1,-1,3
Abdulla Abdullayev,25,873097200,1997-09-01,International Friendlies,2022,Midfielder,Uzbekistan,24,0,24,Uzbekistan,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,11
Abdulla Hamad Mohamed Salmeen Al Menhali,21,1000796400,2001-09-18,International Friendlies,2022,Midfielder,UAE,65,65,0,UAE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,6.92,13,65,0,0,0,-1,-1,-1,8
Abdulla Yusuf Helal,29,739868400,1993-06-12,International Friendlies,2022,Forward,Bahrain,354,354,0,Bahrain,4,4,0,2,2,0,2,1,1,2,0,0,0,0,9,9,0,0,0,1.02,0.51,0.51,0.51,0,177,2.29,39,89,0,177,0,20,6,-1,1
Abdullah Abdulsalam Alahrak,25,863247600,1997-05-10,International Friendlies,2022,Midfielder,Qatar,13,13,0,Qatar,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,14
Abdullah Al Amri,25,853315200,1997-01-15,International Friendlies,2022,Defender,Saudi Arabia,299,270,29,Saudi Arabia,4,3,1,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0.6,150,75,0,0,0,103,73,22,12
Abdullah Alhamddan,23,937206000,1999-09-13,International Friendlies,2022,Forward,Saudi Arabia,89,89,0,Saudi Arabia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1.01,89,89,89,0,1.01,-1,-1,-1,22
Abdullah Ibrahim Otayf,30,712825200,1992-08-03,International Friendlies,2022,Midfielder,Saudi Arabia,79,79,0,Saudi Arabia,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.14,79,40,0,0,0,-1,-1,-1,26
Abdullah Mohammed Madu,29,742719600,1993-07-15,International Friendlies,2022,Defender,Saudi Arabia,1,1,0,Saudi Arabia,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,6
Abdullah Qazy,27,796118400,1995-03-25,International Friendlies,2022,Defender,Pakistan,90,0,90,Pakistan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,2
Abdulrahman Al Obod,27,801990000,1995-06-01,International Friendlies,2022,Forward,Saudi Arabia,0,0,0,Saudi Arabia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdulrazack Hamza,19,1048406400,2003-03-23,International Friendlies,2022,Midfielder,Tanzania,0,0,0,Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abdulwahab Rahman Hedaib Isa Ali Al Malood,32,644742000,1990-06-07,International Friendlies,2022,Forward,Bahrain,137,137,0,Bahrain,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2.63,34,34,0,0,0,-1,-1,-1,15
Abdurakhmanov Odilzhon,26,827136000,1996-03-18,International Friendlies,2022,Midfielder,Kyrgyzstan,142,90,52,Kyrgyzstan,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,1.27,71,71,71,0,1.27,-1,-1,-1,13
Abduvohid Nematov,21,985075200,2001-03-20,International Friendlies,2022,Goalkeeper,Uzbekistan,0,0,0,Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abilayhan Zhumabek,21,1003474800,2001-10-19,International Friendlies,2022,Forward,Kazakhstan,0,0,0,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Abner Jonthan Acuña Álvarez,25,857548800,1997-03-05,International Friendlies,2022,Forward,Nicaragua,44,44,0,Nicaragua,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,4
Abolfazl Jalali,24,898844400,1998-06-26,International Friendlies,2022,Defender,Iran,180,180,0,Iran,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,17
Aboubacar Diarra,29,738054000,1993-05-22,International Friendlies,2022,Midfielder,Mali,11,0,11,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,11,0,8.18,-1,-1,-1,19
Abu Kamara,25,859881600,1997-04-01,International Friendlies,2022,Forward,Liberia,13,0,13,Liberia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,14
Abzal Beysebekov,29,723110400,1992-11-30,International Friendlies,2022,Defender,Kazakhstan,0,0,0,Kazakhstan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Achmad Figo Ramdani,20,1009267200,2001-12-25,International Friendlies,2022,Defender,Indonesia,7,7,0,Indonesia,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,19
Achraf Dari,23,925974000,1999-05-06,International Friendlies,2022,Midfielder,Morocco,180,90,90,Morocco,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,12
Achraf Hakimi Mouh,24,910166400,1998-11-04,International Friendlies,2022,Defender,Morocco,303,136,167,Morocco,4,2,2,0,0,0,0,0,0,0,0,3,2,1,3,0,3,1,0,0,0,0,0,0,0,0.89,101,76,303,0,0.3,76,43,36,28
Ackeel Applewhaite,32,648198000,1990-07-17,International Friendlies,2022,Midfielder,Barbados,90,0,90,Barbados,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,9,10,90,0,0,0,-1,-1,-1,6
Adabayo Adeley,22,958546800,2000-05-17,International Friendlies,2022,Goalkeeper,Nigeria,0,0,0,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adalberto Eliécer Carrasquilla Alcázar,23,912240000,1998-11-28,International Friendlies,2022,Midfielder,Panama,240,90,150,Panama,3,1,2,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,0,0,0,0,0,0.75,120,80,240,0,0.38,-1,-1,-1,6
Adalberto Peñaranda Maestre,25,865062000,1997-05-31,International Friendlies,2022,Forward,Venezuela,56,0,56,Venezuela,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,-1,-1,-1,30
Adam bin Swandi,26,821433600,1996-01-12,International Friendlies,2022,Forward,Singapore,90,0,90,Singapore,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,4,23,90,0,0,0,-1,-1,-1,7
Adam Buksa,26,837154800,1996-07-12,International Friendlies,2022,Forward,Poland,7,0,7,Poland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,9
Adam Davies,30,711356400,1992-07-17,International Friendlies,2022,Goalkeeper,Wales,30,30,0,Wales,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,6
Adam Gnezda Čerin,23,932108400,1999-07-16,International Friendlies,2022,Midfielder,Slovenia,287,90,197,Slovenia,4,1,3,0,0,0,1,0,1,0,0,2,1,1,2,0,2,1,0,0.31,0.31,0,0,0,0,0.63,144,72,287,287,0.31,129,16,-1,16
Adam Hložek,20,1027580400,2002-07-25,International Friendlies,2022,Forward,Czech Republic,9,0,9,Czech Republic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,20
Ádám Lang,29,727257600,1993-01-17,International Friendlies,2022,Defender,Hungary,281,109,172,Hungary,4,2,2,0,0,0,0,0,0,0,0,1,0,1,4,2,2,1,0,0,0,0,0,0,0,1.28,70,70,281,0,0.32,175,120,58,23
Adam Magri Overend,22,957337200,2000-05-03,International Friendlies,2022,Midfielder,Malta,90,90,0,Malta,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,24
Adam Marušić,30,719305200,1992-10-17,International Friendlies,2022,Defender,Montenegro,226,180,46,Montenegro,3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,1.19,75,75,0,0,0,-1,-1,-1,26
Adam Masina,28,757497600,1994-01-02,International Friendlies,2022,Defender,Morocco,90,0,90,Italy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,17
Ádám Nagy,27,803372400,1995-06-17,International Friendlies,2022,Midfielder,Hungary,252,149,103,Hungary,4,2,2,0,0,0,0,0,0,0,0,1,0,1,3,2,1,1,0,0,0,0,0,0,0,1.07,84,63,252,0,0.36,-1,-1,-1,22
Adam Obert,20,1030086000,2002-08-23,International Friendlies,2022,Defender,Slovakia,10,10,0,Slovakia,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,14
Adam Ounas,25,847699200,1996-11-11,International Friendlies,2022,Midfielder,Algeria,166,166,0,Algeria,3,3,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0.54,0,0.54,0.54,0,166,0,0,55,0,0,0,-1,-1,-1,4
Ádám Szalai,34,566035200,1987-12-09,International Friendlies,2022,Forward,Hungary,142,70,72,Hungary,2,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.63,142,71,0,0,0,-1,-1,-1,19
Adam Taggart,29,739004400,1993-06-02,International Friendlies,2022,Forward,Australia,61,61,0,Australia,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,-1,-1,-1,6
Adam Zreľák,28,768121200,1994-05-05,International Friendlies,2022,Forward,Slovakia,7,0,7,Slovakia,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,7,4,0,25.71,-1,-1,-1,13
Adama Guira,34,577868400,1988-04-24,International Friendlies,2022,Midfielder,Burkina,180,0,180,Burkina Faso,2,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0,0,0,0,0,0,0,4,23,90,90,0,1,-1,-1,-1,26
Adama Traore,27,802335600,1995-06-05,International Friendlies,2022,Forward,Mali,0,0,0,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adamo Nagalo,20,1032678000,2002-09-22,International Friendlies,2022,Defender,Burkina,90,90,0,Ivory Coast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,6
Adel Taarabt,33,611996400,1989-05-24,International Friendlies,2022,Midfielder,Morocco,65,0,65,Morocco,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4.15,22,65,0,0,0,-1,-1,-1,27
Adem Zorgane,22,947145600,2000-01-06,International Friendlies,2022,Midfielder,Algeria,65,65,0,Algeria,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1.38,65,33,0,0,0,-1,-1,-1,25
Ademola Lookman,25,877330800,1997-10-20,International Friendlies,2022,Forward,Nigeria,111,0,111,England,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3.24,28,56,0,0,0,-1,-1,-1,43
Adi bin Said,32,655974000,1990-10-15,International Friendlies,2022,Forward,Brunei,0,0,0,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
